Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","1961","1961","tonnes","3926173","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","1962","1962","tonnes","3708481","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","1963","1963","tonnes","3941869","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","1964","1964","tonnes","4080361","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","1965","1965","tonnes","4681252","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","1966","1966","tonnes","4974700","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","1967","1967","tonnes","5074092","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","1968","1968","tonnes","5229278","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","1969","1969","tonnes","5353107","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","1970","1970","tonnes","5584387","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","1971","1971","tonnes","5985933","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","1972","1972","tonnes","6394045","A","Aggregate, may include official, semi-official, estimated or calculated data",""
